name,max,min,avg
49548_sf_hexa.mesh_17286_67319.obj.mesh.csv,74.1672,1.12799,5.4608496365
121397_sf_hexa.mesh_10270_43443.obj.mesh.csv,94.6046,1.09168,5.67118448456
940382_sf_hexa.mesh_12282_41028.obj.mesh.csv,64.4556,1.18798,5.58224489731
49887_sf_hexa.mesh_63522_233171.obj.mesh.csv,119.903,1.07614,5.55180284574
313878_sf_hexa.mesh_10250_48533.obj.mesh.csv,70.5928,1.09788,5.43139484099
116079_sf_hexa.mesh_39234_162595.obj.mesh.csv,106.282,1.10938,5.49033634521
81528_sf_hexa.mesh_41654_202332.obj.mesh.csv,67.6724,1.05668,5.42182484891
267095_sf_hexa.mesh_12602_46479.obj.mesh.csv,45.3384,1.18245,5.48774234278
71709_sf_hexa.mesh_34216_151416.obj.mesh.csv,136.854,1.11884,5.5402170757
797993_sf_hexa.mesh_14624_57614.obj.mesh.csv,69.3988,1.07772,5.44348006729
132053_sf_hexa.mesh_46030_174167.obj.mesh.csv,379.784,1.08023,5.48478841021
108293_sf_hexa.mesh_42118_205928.obj.mesh.csv,68.4833,1.11755,5.38416381334
1623064_sf_hexa.mesh_19182_165328.obj.mesh.csv,37.2363,1.05326,5.25132835458
57180_sf_hexa.mesh_7084_27231.obj.mesh.csv,61.8477,1.1977,5.48953242795
38557_sf_hexa.mesh_65408_261982.obj.mesh.csv,101.855,1.09635,5.41904616192
591214_sf_hexa.mesh_32844_154847.obj.mesh.csv,91.4537,1.09946,5.46090563824
229605_sf_hexa.mesh_14810_105861.obj.mesh.csv,89.3083,1.10298,5.38081878851
69220_sf_hexa.mesh_37260_195498.obj.mesh.csv,481.3,1.13018,5.39972211832
43989_sf_hexa.mesh_7866_31128.obj.mesh.csv,70.12,1.09314,5.63806377363
74449_sf_hexa.mesh_19024_163281.obj.mesh.csv,50.3441,1.12987,5.2755474298
59704_sf_hexa.mesh_12208_61836.obj.mesh.csv,63.0361,1.10538,5.52677411726
1215418_sf_hexa.mesh_48726_180813.obj.mesh.csv,106.792,1.1296,5.44367067203
52075_sf_hexa.mesh_11376_53470.obj.mesh.csv,43.3278,1.08063,5.40200603169
116872_sf_hexa.mesh_43564_172385.obj.mesh.csv,127.519,1.07768,5.55500135621
956669_sf_hexa.mesh_8274_36577.obj.mesh.csv,57.6914,1.16979,5.49171457716
1095209_sf_hexa.mesh_36216_140803.obj.mesh.csv,90.6403,1.04308,5.56279386137
1146193_sf_hexa.mesh_38264_135039.obj.mesh.csv,87.1443,1.10225,5.42067784726
44384_sf_hexa.mesh_9452_37735.obj.mesh.csv,97.1099,1.14118,5.58795350852
257589_sf_hexa.mesh_37382_136901.obj.mesh.csv,68.8602,1.13043,5.35004031894
263199_sf_hexa.mesh_48544_215867.obj.mesh.csv,117.447,1.10831,5.53703329943
93540_sf_hexa.mesh_11930_64357.obj.mesh.csv,122.444,1.15694,5.52565548915
68454_sf_hexa.mesh_40886_146172.obj.mesh.csv,72.2303,1.05711,5.36233384837
491062_sf_hexa.mesh_31078_149243.obj.mesh.csv,69.3962,1.11433,5.36173110099
214479_sf_hexa.mesh_5982_27584.obj.mesh.csv,24.8058,1.18943,5.42790603179
76897_sf_hexa.mesh_14686_60880.obj.mesh.csv,68.512,1.12095,5.54168947673
763714_sf_hexa.mesh_7008_29512.obj.mesh.csv,63.1901,1.07385,5.45289671909
1452672_sf_hexa.mesh_13940_52726.obj.mesh.csv,62.4219,1.09619,5.44483691948
1458671_sf_hexa.mesh_19378_108815.obj.mesh.csv,63.5079,1.08083,5.40447272741
363052_sf_hexa.mesh_26844_117434.obj.mesh.csv,70.3907,1.14111,5.38061546319
44102_sf_hexa.mesh_10144_34336.obj.mesh.csv,41.6214,1.20479,5.51068509677
77463_sf_hexa.mesh_15562_56875.obj.mesh.csv,68.4086,1.17217,5.41262859896
71154_sf_hexa.mesh_13048_86712.obj.mesh.csv,42.8825,1.11419,5.28828927177
593388_sf_hexa.mesh_46210_175004.obj.mesh.csv,53.9463,1.04847,5.33898021644
116066_sf_hexa.mesh_14368_101522.obj.mesh.csv,57.276,1.09818,5.34349107711
369988_sf_hexa.mesh_9008_35504.obj.mesh.csv,47.2119,1.14147,5.44090164934
1120767_sf_hexa.mesh_9672_57624.obj.mesh.csv,38.5663,1.13425,5.3697524962
199820_sf_hexa.mesh_17996_95192.obj.mesh.csv,44.3663,1.13086,5.43331199908
116075_sf_hexa.mesh_29184_201783.obj.mesh.csv,135.272,1.09842,5.48126186902
472046_sf_hexa.mesh_39562_135234.obj.mesh.csv,118.321,1.10222,5.70062284475
81223_sf_hexa.mesh_24990_90367.obj.mesh.csv,117.935,1.10581,5.58065525546
122551_sf_hexa.mesh_12010_74049.obj.mesh.csv,62.4884,1.10834,5.41844630424
242559_sf_hexa.mesh_31012_125045.obj.mesh.csv,60.7603,1.10309,5.38727711154
77475_sf_hexa.mesh_38886_146253.obj.mesh.csv,93.1331,1.11079,5.4553276021
55354_sf_hexa.mesh_17262_82970.obj.mesh.csv,69.7623,1.16765,5.42696264373
60222_sf_hexa.mesh_61584_261681.obj.mesh.csv,76.0421,1.10085,5.33163812894
112930_sf_hexa.mesh_30352_127211.obj.mesh.csv,53.7192,1.14157,5.43036619603
129898_sf_hexa.mesh_18374_67301.obj.mesh.csv,62.1642,1.10424,5.56142438575
1146179_sf_hexa.mesh_66750_253900.obj.mesh.csv,67.8142,1.12684,5.386053767
1273630_sf_hexa.mesh_22148_101757.obj.mesh.csv,154.942,1.11276,5.37359278659
90224_sf_hexa.mesh_13564_86570.obj.mesh.csv,118.834,1.10297,5.43591173967
1396885_sf_hexa.mesh_23632_94851.obj.mesh.csv,71.4248,1.12093,5.50098564725
472063_sf_hexa.mesh_15970_108926.obj.mesh.csv,51.5866,1.10533,5.31658376068
567039_sf_hexa.mesh_5808_22986.obj.mesh.csv,38.7494,1.12805,5.57127389152
375244_sf_hexa.mesh_50250_213146.obj.mesh.csv,70.885,1.11309,5.41546688737
285369_sf_hexa.mesh_8792_31871.obj.mesh.csv,65.5567,1.1378,5.5212366306
74500_sf_hexa.mesh_9622_36914.obj.mesh.csv,47.8825,1.19611,5.59531240049
87721_sf_hexa.mesh_20506_155645.obj.mesh.csv,76.6497,1.11984,5.37025054101
71762_sf_hexa.mesh_14398_70385.obj.mesh.csv,67.0681,1.09306,5.44002506496
135222_sf_hexa.mesh_24108_103008.obj.mesh.csv,53.2782,1.07427,5.42294546688
313917_sf_hexa.mesh_12016_67866.obj.mesh.csv,131.126,1.11401,5.45508389092
37730_sf_hexa.mesh_20518_95642.obj.mesh.csv,127.629,1.06081,5.45170381548
57945_sf_hexa.mesh_29132_132877.obj.mesh.csv,72.8519,1.11958,5.32943843574
1582435_sf_hexa.mesh_5230_20419.obj.mesh.csv,121.714,1.13764,5.54517625523
83770_sf_hexa.mesh_13184_57389.obj.mesh.csv,74.2142,1.15625,5.57259694381
72896_sf_hexa.mesh_36372_150743.obj.mesh.csv,84.9492,1.11675,5.36527006992
621686_sf_hexa.mesh_8574_35073.obj.mesh.csv,66.0484,1.12596,5.40039597962
49163_sf_hexa.mesh_32174_115699.obj.mesh.csv,75.4745,1.119,5.51797811635
906186_sf_hexa.mesh_40828_144280.obj.mesh.csv,128.24,1.10396,5.61497954821
904472_sf_hexa.mesh_27694_96176.obj.mesh.csv,162.284,1.14488,5.6204714382
372055_sf_hexa.mesh_56210_275183.obj.mesh.csv,73.0587,1.10933,5.4670433787
1120779_sf_hexa.mesh_10330_60899.obj.mesh.csv,49.268,1.10729,5.42153747225
37885_sf_hexa.mesh_26032_197546.obj.mesh.csv,65.8071,1.11459,5.33529190509
611683_sf_hexa.mesh_18292_97353.obj.mesh.csv,67.8967,1.08233,5.39870514647
37278_sf_hexa.mesh_10948_42267.obj.mesh.csv,68.8336,1.07662,5.49155953428
98413_sf_hexa.mesh_9332_32556.obj.mesh.csv,48.4284,1.11561,5.49165436939
153956_sf_hexa.mesh_11128_66539.obj.mesh.csv,106.21,1.04112,5.50361424716
44040_sf_hexa.mesh_28362_108913.obj.mesh.csv,71.5325,1.10081,5.48443414313
70944_sf_hexa.mesh_12186_53499.obj.mesh.csv,64.4209,1.11084,5.47035896035
472017_sf_hexa.mesh_10378_65431.obj.mesh.csv,89.4962,1.09135,5.53411012107
298586_sf_hexa.mesh_17560_79468.obj.mesh.csv,58.659,1.11072,5.42648284411
65150_sf_hexa.mesh_6696_26493.obj.mesh.csv,102.964,1.18304,5.47245369101
289692_sf_hexa.mesh_15286_61981.obj.mesh.csv,61.2795,1.10827,5.47661088278
741526_sf_hexa.mesh_5510_19681.obj.mesh.csv,40.1416,1.1591,5.60155256793
78976_sf_hexa.mesh_12126_52715.obj.mesh.csv,61.1844,1.15796,5.4062642808
260055_sf_hexa.mesh_34114_114405.obj.mesh.csv,81.6073,1.09755,5.4708062663
112922_sf_hexa.mesh_12150_61483.obj.mesh.csv,83.1334,1.07642,5.41729079108
83256_sf_hexa.mesh_29562_106489.obj.mesh.csv,65.301,1.12168,5.479551526
38294_sf_hexa.mesh_21110_107634.obj.mesh.csv,143.462,1.16983,5.38748436244
225936_sf_hexa.mesh_20936_75624.obj.mesh.csv,70.4214,1.16571,5.60544162717
129915_sf_hexa.mesh_9438_36260.obj.mesh.csv,121.911,1.17611,5.50565565029
1211690_sf_hexa.mesh_21606_75260.obj.mesh.csv,79.171,1.09456,5.52260922171
